transaction_id,amount,failure_code,risk_score,risk_level,root_cause,recommended_action,policy_result,final_action,status,amount_recovered,attempts,description,cost
TX00001,51289.39,LIMIT_EXCEEDED,65,HIGH,limit_exceeded,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00002,4104.17,LIMIT_EXCEEDED,26,LOW,limit_exceeded,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,4104.17,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 4,104.17.",1.0
TX00003,9615.62,TEMPORARY_BANK_ERROR,26,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,9615.62,1,"Action 'schedule_retry' executed successfully. Recovered INR 9,615.62.",1.0
TX00004,11159.59,CUSTOMER_DECLINED,22,LOW,customer_declined,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,11159.59,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 11,159.59.",1.0
TX00005,5946.99,CARD_EXPIRED,24,LOW,expired_card,mark_promise_to_pay,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00006,543.87,LIMIT_EXCEEDED,20,LOW,limit_exceeded,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,543.87,1,Action 'mark_promise_to_pay' executed successfully. Recovered INR 543.87.,1.0
TX00007,14299.43,BANK_TIMEOUT,29,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,14299.43,1,"Action 'schedule_retry' executed successfully. Recovered INR 14,299.43.",1.0
TX00008,22101.81,CARD_EXPIRED,33,MEDIUM,expired_card,create_payment_link,APPROVED,create_payment_link,SUCCESS,22101.81,1,"Action 'create_payment_link' executed successfully. Recovered INR 22,101.81.",2.0
TX00009,36532.64,BANK_TIMEOUT,42,MEDIUM,temporary_bank_failure,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00010,24146.08,INSUFFICIENT_FUNDS,56,MEDIUM,insufficient_funds,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00011,19745.01,INSUFFICIENT_FUNDS,54,MEDIUM,insufficient_funds,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00012,1315.27,TEMPORARY_BANK_ERROR,21,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,1315.27,1,"Action 'schedule_retry' executed successfully. Recovered INR 1,315.27.",1.0
TX00013,13847.93,TEMPORARY_BANK_ERROR,23,LOW,temporary_bank_failure,retry_payment,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00014,11094.49,BANK_TIMEOUT,17,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,11094.49,1,"Action 'schedule_retry' executed successfully. Recovered INR 11,094.49.",1.0
TX00015,7369.16,BANK_TIMEOUT,24,LOW,temporary_bank_failure,retry_payment,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00016,593.1,TEMPORARY_BANK_ERROR,5,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,593.1,1,Action 'schedule_retry' executed successfully. Recovered INR 593.10.,1.0
TX00017,34395.77,CUSTOMER_DECLINED,36,MEDIUM,customer_declined,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00018,16629.38,INSUFFICIENT_FUNDS,35,MEDIUM,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,16629.38,1,"Action 'create_payment_link' executed successfully. Recovered INR 16,629.38.",2.0
TX00019,1588.65,INSUFFICIENT_FUNDS,26,LOW,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,1588.65,1,"Action 'create_payment_link' executed successfully. Recovered INR 1,588.65.",2.0
TX00020,16786.23,INSUFFICIENT_FUNDS,45,MEDIUM,insufficient_funds,send_payment_reminder,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00021,21015.45,INSUFFICIENT_FUNDS,48,MEDIUM,insufficient_funds,send_payment_reminder,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00022,12120.8,TEMPORARY_BANK_ERROR,12,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,12120.8,1,"Action 'schedule_retry' executed successfully. Recovered INR 12,120.80.",1.0
TX00023,17031.85,BANK_TIMEOUT,30,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,17031.85,1,"Action 'schedule_retry' executed successfully. Recovered INR 17,031.85.",1.0
TX00024,20226.44,BANK_TIMEOUT,17,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,20226.44,1,"Action 'schedule_retry' executed successfully. Recovered INR 20,226.44.",1.0
TX00025,15019.16,LIMIT_EXCEEDED,29,LOW,limit_exceeded,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,15019.16,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 15,019.16.",1.0
TX00026,21401.63,INSUFFICIENT_FUNDS,38,MEDIUM,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,21401.63,1,"Action 'create_payment_link' executed successfully. Recovered INR 21,401.63.",2.0
TX00027,19573.13,INSUFFICIENT_FUNDS,22,LOW,insufficient_funds,schedule_retry,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00028,14229.48,CARD_EXPIRED,28,LOW,expired_card,create_payment_link,APPROVED,create_payment_link,SUCCESS,14229.48,1,"Action 'create_payment_link' executed successfully. Recovered INR 14,229.48.",2.0
TX00029,16476.82,INSUFFICIENT_FUNDS,20,LOW,insufficient_funds,send_payment_reminder,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00030,17111.83,BANK_TIMEOUT,30,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,17111.83,1,"Action 'schedule_retry' executed successfully. Recovered INR 17,111.83.",1.0
TX00031,22387.57,TEMPORARY_BANK_ERROR,23,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,22387.57,1,"Action 'schedule_retry' executed successfully. Recovered INR 22,387.57.",1.0
TX00032,17210.39,BANK_TIMEOUT,30,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,17210.39,1,"Action 'schedule_retry' executed successfully. Recovered INR 17,210.39.",1.0
TX00033,15261.49,BANK_TIMEOUT,14,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,15261.49,1,"Action 'schedule_retry' executed successfully. Recovered INR 15,261.49.",1.0
TX00034,20532.82,CARD_EXPIRED,32,MEDIUM,expired_card,create_payment_link,APPROVED,create_payment_link,SUCCESS,20532.82,1,"Action 'create_payment_link' executed successfully. Recovered INR 20,532.82.",2.0
TX00035,13292.58,BANK_TIMEOUT,18,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,13292.58,1,"Action 'schedule_retry' executed successfully. Recovered INR 13,292.58.",1.0
TX00036,9293.15,TEMPORARY_BANK_ERROR,29,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,9293.15,1,"Action 'schedule_retry' executed successfully. Recovered INR 9,293.15.",1.0
TX00037,6403.29,INSUFFICIENT_FUNDS,29,LOW,insufficient_funds,send_payment_reminder,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00038,20938.75,CARD_EXPIRED,36,MEDIUM,expired_card,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,20938.75,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 20,938.75.",1.0
TX00039,19527.86,LIMIT_EXCEEDED,57,MEDIUM,limit_exceeded,stop_recovery,ESCALATE,escalate_to_human,FAILURE,0.0,1,Case escalated to human review. Automated recovery paused.,100.0
TX00040,989.28,BANK_TIMEOUT,6,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,989.28,1,Action 'schedule_retry' executed successfully. Recovered INR 989.28.,1.0
TX00041,20144.09,CARD_EXPIRED,47,MEDIUM,expired_card,create_payment_link,APPROVED,create_payment_link,SUCCESS,20144.09,1,"Action 'create_payment_link' executed successfully. Recovered INR 20,144.09.",2.0
TX00042,11699.55,INSUFFICIENT_FUNDS,17,LOW,insufficient_funds,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,11699.55,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 11,699.55.",1.0
TX00043,679.28,CUSTOMER_DECLINED,30,LOW,customer_declined,create_payment_link,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
TX00044,7782.81,INSUFFICIENT_FUNDS,15,LOW,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,7782.81,1,"Action 'create_payment_link' executed successfully. Recovered INR 7,782.81.",2.0
TX00045,17850.69,TEMPORARY_BANK_ERROR,23,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,17850.69,1,"Action 'schedule_retry' executed successfully. Recovered INR 17,850.69.",1.0
TX00046,20077.68,INSUFFICIENT_FUNDS,40,MEDIUM,insufficient_funds,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,20077.68,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 20,077.68.",1.0
TX00047,7712.75,INSUFFICIENT_FUNDS,15,LOW,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,7712.75,1,"Action 'create_payment_link' executed successfully. Recovered INR 7,712.75.",2.0
TX00048,17906.21,INSUFFICIENT_FUNDS,21,LOW,insufficient_funds,create_payment_link,APPROVED,create_payment_link,SUCCESS,17906.21,1,"Action 'create_payment_link' executed successfully. Recovered INR 17,906.21.",2.0
TX00049,21128.23,LIMIT_EXCEEDED,33,MEDIUM,limit_exceeded,mark_promise_to_pay,APPROVED,mark_promise_to_pay,SUCCESS,21128.23,1,"Action 'mark_promise_to_pay' executed successfully. Recovered INR 21,128.23.",1.0
TX00050,14140.37,LIMIT_EXCEEDED,44,MEDIUM,limit_exceeded,create_payment_link,APPROVED,create_payment_link,SUCCESS,14140.37,1,"Action 'create_payment_link' executed successfully. Recovered INR 14,140.37.",2.0
TX00051,7992.88,TEMPORARY_BANK_ERROR,10,LOW,temporary_bank_failure,schedule_retry,APPROVED,schedule_retry,SUCCESS,7992.88,1,"Action 'schedule_retry' executed successfully. Recovered INR 7,992.88.",1.0
TX00052,15979.28,LIMIT_EXCEEDED,48,MEDIUM,limit_exceeded,mark_promise_to_pay,APPROVED,escalate_to_human,FAILURE,0.0,3,Case escalated to human review. Automated recovery paused.,100.0
